学年学期|	课程代码|	课程序号|	课程名称|	课程类别|	学分|	总评成绩|	最终|	



2015-2016 2|	L2209310|	L2209310.01|	语言类项目实践（结合语言、数据结构）|	实践类核心课程|	1|	91|	91|	

2014-2015 1|	B1300720|	B1300720.05|	高级英语听说|	A类语言技能类|	2|	82|	82|	

2015-2016 1|	J9516210|	校级社会实践优秀个人|	创新学分|	3|	90|	90|	

2015-2016 1|	D1000735|	D1000735.28|	概率论与数理统计|	学科通识课程|	3.5|	91|	91|	

2015-2016 2|	I1600420|	I1600420.01|	中国政治经济简史|	素质教育选修课（社会科学类）|	2|	90|	90|	

2016-2017 1|	G2231330|	G2231330.01|	网络安全技术|	本专业选修课|	3|	90|	90|	

2014-2015 1|	D1000540|	D1000540.09|	线性代数与空间解析几何I|	学科通识课程|	4|	81|	81|	

2015-2016 2|	E2201240|	E2201240.02|	数据库原理及应用|	学科基础课程|	4|	95|	95|	

2014-2015 1|	H2201810|	H2201810.01|	新生教育|	本专业选修课|	1|	83|	83|	

2016-2017 2|	L2217040|	L2217040.01|	现代软件工程项目企业实训|	实践类核心课程|	4|	89|	89|	

2016-2017 1|	L2248410|	L2248410.01|	嵌入式系统综合训练Ⅲ|	实践类核心课程|	1|	88|	88|	

2015-2016 1|	L2248310|	L2248310.01|	嵌入式系统综合训练Ⅰ|	实践类核心课程|	1|	92|	92|	

2015-2016 2|	L2248520|	L2248520.01|	嵌入式系统综合训练Ⅱ|	实践类核心课程|	2|	92|	92|	

2014-2015 1|	L9800210|	L9800210.01|	军事训练|	实践类核心课程|	1|	94|	94|	

2014-2015 1|	J1402910|	大学体育选修|	创新学分|	1|	85|	85|	

2014-2015 2|	B1302020|	B1302020.24|	商务英语|	C类专门用途类|	2|	82|	82|	

2015-2016 2|	B1498910|	B1498910.12|	网球D|	大学体育IV|	1|	85|	85|	

2014-2015 2|	D0400440|	D0400440.01|	大学物理Ⅱ|	学科通识课程|	4|	93|	93|	

2015-2016 2|	E1001720|	E1001720.02|	数学建模|	学科通识课程|	2|	99|	99|	

2016-2017 2|	L2205380|	L2205380.01|	现代信息工程项目企业实习|	实践类核心课程|	8|	91|	91|	

2014-2015 2|	I5500220|	I5500220.02|	职业生涯规划|	素质教育选修课（社会科学类）|	2|	96|	96|	

2014-2015 1|	B9800320|	B9800320.54|	形势与政策|	思想政治理论课|	2|	85|	85|	

2014-2015 1|	B1600220|	B1600220.83|	中国近现代史纲要|	思想政治理论课|	2|	90|	90|	

2015-2016 1|	G2220030|	G2220030.01|	编译技术|	专业核心课程|	3|	95|	95|	

2014-2015 2|	B1600130|	B1600130.31|	思想道德修养与法律基础|	思想政治理论课|	3|	91|	91|	

2014-2015 1|	B9800110|	B9800110.35|	军事理论|	军事理论、体育|	1|	92|	92|	

2016-2017 2|	B1600430|	B1600430.01|	马克思主义基本原理概论|	思想政治理论课|	3|	99|	99|	

2016-2017 1|	B1600360|	B1600360.26|	毛泽东思想和中国特色社会主义理论体系概论|	思想政治理论课|	6|	93|	93|	

2014-2015 1|	J9500915|	校级竞赛三等奖|	创新学分|	1.5|	87|	

